Date,close,MSI,MACD,OSC
2020-02-29,"8,526.76",39.24124931,11.17068669,-11.8592865
2020-03-01,"8,527.42",26.26021336,6.911047983,-12.98103594
2020-03-02,"8,917.49",12.68498683,2.459441593,-13.57522654
2020-03-03,"8,754.49",5.269603466,-2.13923609,-7.41538336
2020-03-04,"8,757.42",-2.042037061,-6.309350484,-7.311640527
2020-03-05,"9,067.54",-6.928419264,-10.08789747,-4.886382203
2020-03-06,"9,156.31",-6.816773688,-13.3231326,0.1116455756
2020-03-07,"8,899.36",-5.13237259,-15.69712421,1.684401098
2020-03-08,"8,036.48",-7.311687525,-17.24383637,-2.179314935
2020-03-09,"7,932.88",-14.58358309,-18.43298541,-7.271895569
2020-03-10,"7,887.13",-25.07327563,-19.73468661,-10.48969253
2020-03-11,"7,937.85",-31.4617361,-21.36642586,-6.388460476
2020-03-12,"4,844.81",-41.21170087,-22.91098279,-9.749964763
2020-03-13,"5,635.89",-54.48700197,-24.63778688,-13.27530111
2020-03-14,"5,166.47",-61.41008915,-26.76892195,-6.923087173
2020-03-15,"5,343.14",-71.16741797,-28.68582479,-9.757328824
2020-03-16,"5,037.22",-75.59923676,-30.63913018,-4.431818792
2020-03-17,"5,332.87",-84.45558538,-32.17386917,-8.856348621
2020-03-18,"5,414.05",-87.95062527,-33.71613557,-3.495039881
2020-03-19,"6,185.74",-90.04427097,-34.81904108,-2.09364571
2020-03-20,"6,207.06",-85.92925644,-35.45335713,4.115014536
2020-03-21,"6,197.83",-84.32641247,-35.21803826,1.602843973
2020-03-22,"5,824.09",-80.77948854,-34.50446426,3.546923922
2020-03-23,"6,497.31",-82.78811089,-33.26923755,-2.008622341
2020-03-24,"6,769.96",-79.43668217,-32.0825627,3.351428715
2020-03-25,"6,691.95",-72.41916694,-30.51986801,7.017515225
2020-03-26,"6,753.59",-69.40223533,-28.38792801,3.016931615
2020-03-27,"6,375.80",-64.42088736,-26.15342859,4.98134797
2020-03-28,"6,253.68",-62.98487015,-23.70733515,1.436017214
2020-03-29,"5,876.45",-65.88729082,-21.40615703,-2.902420669
2020-03-30,"6,406.07",-72.88456377,-19.59082703,-6.997272955
2020-03-31,"6,424.03",-73.24794907,-18.50348966,-0.3633852951
2020-04-01,"6,661.81",-72.13754348,-17.46970918,1.110405581
2020-04-02,"6,802.83",-66.77259873,-16.37210285,5.364944752
2020-04-03,"6,741.01",-56.99684771,-14.89760539,9.775751019
2020-04-04,"6,874.45",-48.49873609,-12.79276707,8.498111622
2020-04-05,"6,777.02",-37.23549671,-10.31997866,11.26323938
2020-04-06,"7,343.61",-31.36438929,-7.366510201,5.871107416
2020-04-07,"7,202.69",-21.63291024,-4.500239901,9.73147905
2020-04-08,"7,368.77",-16.54947084,-1.427001424,5.083439402
2020-04-09,"7,299.13",-7.965522538,1.402585158,8.583948305
2020-04-10,"6,873.54",-1.231558861,4.288273254,6.733963676
2020-04-11,"6,888.70",-0.7130018608,7.037453073,0.5185570004
2020-04-12,"6,906.54",-2.511210354,9.152536361,-1.798208493
2020-04-13,"6,862.78",-0.0812623004,10.56190366,2.429948053
2020-04-14,"6,876.89",-1.848390141,11.73958724,-1.76712784
2020-04-15,"6,622.36",-3.495182231,12.38752187,-1.64679209
2020-04-16,"7,114.92",-9.630853294,12.6226266,-6.135671063
2020-04-17,"7,033.00",-9.573837524,12.17352262,0.05701577005
2020-04-18,"7,262.19",-10.12235959,11.68747919,-0.5485220663
2020-04-19,"7,130.28",-6.585873897,11.12972854,3.536485694
2020-04-20,"6,840.30",-6.974388996,10.84802272,-0.3885150996
2020-04-21,"6,854.97",-12.8168372,10.47269618,-5.842448202
2020-04-22,"7,137.14",-19.09318596,9.593225723,-6.276348764
