Date,close,Index (MSI),MACD
29-6-2018,"6,201.50",-245.60,-35.60
30-6-2018,"6,386.45",-246.22,-36.00
1-7-2018,"6,347.71",-240.46,-35.96
2-7-2018,"6,614.40",-233.48,-35.05
3-7-2018,"6,503.62",-221.29,-33.39
4-7-2018,"6,584.91",-212.81,-30.73
5-7-2018,"6,530.58",-201.03,-27.62
6-7-2018,"6,593.61",-193.21,-23.93
7-7-2018,"6,755.63",-185.90,-20.15
8-7-2018,"6,703.54",-175.26,-16.37
9-7-2018,"6,664.82",-165.84,-12.37
10-7-2018,"6,301.69",-161.49,-8.34
11-7-2018,"6,381.99",-163.02,-4.75
12-7-2018,"6,246.47",-163.65,-2.00
13-7-2018,"6,214.20",-169.02,0.12
14-7-2018,"6,248.26",-170.11,1.36
15-7-2018,"6,345.36",-169.64,2.23
16-7-2018,"6,726.52",-164.33,2.92
17-7-2018,"7,316.35",-153.52,3.85
18-7-2018,"7,374.96",-137.75,5.40
19-7-2018,"7,470.08",-126.02,7.81
20-7-2018,"7,330.03",-118.51,10.54
21-7-2018,"7,405.85",-116.84,13.16
22-7-2018,"7,398.97",-110.18,15.20
23-7-2018,"7,718.33",-106.77,17.15
24-7-2018,"8,397.78",-105.67,18.76
25-7-2018,"8,164.30",-101.15,19.89
26-7-2018,"7,927.34",-96.52,20.92
27-7-2018,"8,184.12",-96.92,21.85
28-7-2018,"8,233.11",-92.73,22.30
29-7-2018,"8,215.66",-90.53,22.73
30-7-2018,"8,166.77",-89.74,22.98
31-7-2018,"7,725.94",-93.35,22.98
1-8-2018,"7,603.06",-101.83,22.43
2-8-2018,"7,535.27",-111.81,21.07
3-8-2018,"7,414.94",-124.43,18.97
4-8-2018,"7,013.51",-136.14,16.10
5-8-2018,"7,030.40",-150.72,12.73
6-8-2018,"6,935.35",-158.58,8.78
7-8-2018,"6,718.47",-168.35,4.97
8-8-2018,"6,279.12",-181.20,1.14
9-8-2018,"6,541.67",-197.33,-2.90
10-8-2018,"6,134.17",-205.08,-7.32
11-8-2018,"6,233.85",-216.53,-11.31
12-8-2018,"6,314.31",-228.58,-15.23
13-8-2018,"6,253.40",-240.48,-19.08
14-8-2018,"6,195.40",-255.00,-22.83
15-8-2018,"6,270.14",-270.29,-26.67
16-8-2018,"6,314.81",-279.65,-30.59
17-8-2018,"6,583.90",-284.81,-34.07
18-8-2018,"6,396.48",-282.03,-36.81
19-8-2018,"6,484.53",-283.79,-38.32
20-8-2018,"6,258.78",-279.03,-39.20
21-8-2018,"6,476.80",-279.40,-39.07
22-8-2018,"6,356.39",-274.67,-38.55
23-8-2018,"6,525.69",-274.70,-37.32
24-8-2018,"6,692.28",-268.79,-35.94
25-8-2018,"6,733.29",-258.05,-33.98
26-8-2018,"6,706.69",-247.31,-31.20
27-8-2018,"6,908.60",-238.74,-27.80
28-8-2018,"7,075.94",-225.76,-24.14
29-8-2018,"7,030.10",-208.59,-19.97
30-8-2018,"6,982.02",-197.00,-15.10
31-8-2018,"7,016.32",-190.36,-10.19
1-9-2018,"7,190.89",-180.77,-5.69
2-9-2018,"7,291.15",-166.71,-1.34
3-9-2018,"7,256.12",-157.31,3.20
4-9-2018,"7,358.81",-149.92,7.48
5-9-2018,"6,685.47",-139.90,11.33
6-9-2018,"6,494.82",-136.48,15.02
7-9-2018,"6,397.12",-133.22,18.01
8-9-2018,"6,251.30",-133.81,20.41
9-9-2018,"6,289.41",-139.40,22.01
10-9-2018,"6,340.54",-142.92,22.57
11-9-2018,"6,325.12",-146.46,22.47
12-9-2018,"6,355.91",-154.00,21.85
13-9-2018,"6,478.62",-162.12,20.52
14-9-2018,"6,473.28",-162.90,18.59
15-9-2018,"6,503.63",-164.49,16.80
16-9-2018,"6,487.89",-163.18,15.09
17-9-2018,"6,302.72",-161.19,13.68
18-9-2018,"6,363.55",-164.22,12.57
19-9-2018,"6,405.78",-161.74,11.32
20-9-2018,"6,483.24",-158.46,10.41
21-9-2018,"6,677.61",-151.20,9.84
22-9-2018,"6,647.50",-139.39,9.86
23-9-2018,"6,638.72",-132.43,10.71
24-9-2018,"6,549.62",-122.17,11.80
25-9-2018,"6,439.14",-117.83,13.35
26-9-2018,"6,456.59",-116.88,14.75
27-9-2018,"6,625.28",-113.72,15.76
28-9-2018,"6,577.19",-105.50,16.62
29-9-2018,"6,549.69",-101.09,17.76
30-9-2018,"6,565.65",-94.96,18.80
1-10-2018,"6,543.08",-88.38,19.89
2-10-2018,"6,488.53",-84.47,21.05
3-10-2018,"6,460.59",-81.34,22.02
4-10-2018,"6,524.52",-82.61,22.79
5-10-2018,"6,552.96",-80.42,23.02
6-10-2018,"6,548.00",-75.50,23.12
7-10-2018,"6,572.83",-74.35,23.33
8-10-2018,"6,605.71",-73.15,23.31
9-10-2018,"6,589.22",-68.30,23.14
10-10-2018,"6,525.59",-65.76,23.12
11-10-2018,"6,152.85",-64.60,23.04
12-10-2018,"6,191.90",-69.33,22.81
13-10-2018,"6,197.15",-70.37,22.00
14-10-2018,"6,182.46",-69.56,21.02
15-10-2018,"6,439.25",-71.26,20.09
16-10-2018,"6,458.80",-67.40,18.99
17-10-2018,"6,440.62",-62.91,18.22
18-10-2018,"6,394.39",-59.11,17.77
19-10-2018,"6,384.24",-59.80,17.51
20-10-2018,"6,413.10",-59.04,17.06
21-10-2018,"6,412.98",-54.84,16.57
22-10-2018,"6,407.69",-51.82,16.33
23-10-2018,"6,394.55",-49.62,16.20
24-10-2018,"6,413.46",-48.04,16.09
25-10-2018,"6,392.95",-46.10,15.94
26-10-2018,"6,405.34",-46.75,15.80
